Feature,Coefficient,Absolute_Coefficient
phishing_outgoing_count,2.1075983347271174,2.1075983347271174
centrality,1.1982866261202294,1.1982866261202294
phishing_outgoing_total_transactions,-1.1297854070500595,1.1297854070500595
unknown_outgoing_count,0.5267119445596977,0.5267119445596977
zero_outgoing_ratio,-0.4895355328351476,0.4895355328351476
non_phishing_outgoing_count,0.4489058022673869,0.4489058022673869
small_outgoing_count,-0.29258035445530595,0.29258035445530595
non_phishing_outgoing_total_transactions,-0.2925341560087609,0.2925341560087609
zero_incoming_ratio,0.2701164053842724,0.2701164053842724
small_incoming_count,0.2464039134491263,0.2464039134491263
balance_std_dev,-0.24636648649513965,0.24636648649513965
small_incoming_ratio,0.2338501284397881,0.2338501284397881
non_phishing_incoming_total_transactions,-0.20086242573294616,0.20086242573294616
total_external_transactions,-0.1902741232170324,0.1902741232170324
unknown_outgoing_total_transactions,0.1876810867893554,0.1876810867893554
in_degree,-0.18235706240309973,0.18235706240309973
zero_incoming_count,-0.17085012522550536,0.17085012522550536
avg_transactions_per_day_after_large_txn_value,0.16478139660079155,0.16478139660079155
small_outgoing_ratio,0.1389474104355662,0.1389474104355662
avg_external_outgoing_amount,-0.13632907715657525,0.13632907715657525
out_degree,-0.13221349096096185,0.13221349096096185
phishing_incoming_total_transactions,-0.1276807687165778,0.1276807687165778
min_balance,-0.11305049335847442,0.11305049335847442
balance_fluctuation,0.10585010855571435,0.10585010855571435
phishing_incoming_count,0.09802773236614339,0.09802773236614339
non_phishing_incoming_count,-0.07796261338086251,0.07796261338086251
avg_large_transactions_per_day,-0.06799244877819587,0.06799244877819587
avg_internal_amount,-0.06671148162022898,0.06671148162022898
inflow_outflow_ratio,0.054690044472289034,0.054690044472289034
total_internal_transactions,0.037318800430068994,0.037318800430068994
avg_transaction_frequency,0.03576552795156185,0.03576552795156185
total_large_transactions,-0.030045497852158775,0.030045497852158775
max_large_amount,-0.029373108359730754,0.029373108359730754
max_balance,0.025729759901506524,0.025729759901506524
unknown_incoming_total_transactions,0.02503772076895275,0.02503772076895275
avg_large_amount,0.02466594495480805,0.02466594495480805
zero_outgoing_count,0.02130036316921489,0.02130036316921489
avg_external_incoming_amount,0.020515788378753154,0.020515788378753154
unknown_incoming_count,-0.011537023149302616,0.011537023149302616
balance_drops,0.011002161511575324,0.011002161511575324
min_large_amount,0.009345966376467849,0.009345966376467849
