Feature,Importance
small_incoming_count,0.08331208847021296
non_phishing_outgoing_count,0.08241672773037154
small_outgoing_count,0.08070391870762096
non_phishing_outgoing_total_transactions,0.07816037441227545
phishing_outgoing_count,0.05950360526266039
total_external_transactions,0.05109302570531387
phishing_outgoing_total_transactions,0.04984214123421164
non_phishing_incoming_total_transactions,0.033246625569399106
total_large_transactions,0.029906858027469195
out_degree,0.029667142642961646
centrality,0.02870326029127267
unknown_incoming_count,0.02836595078858752
avg_transaction_frequency,0.024116750496682795
non_phishing_incoming_count,0.021273410913765136
unknown_outgoing_total_transactions,0.017947534626524785
unknown_outgoing_count,0.017615574782298058
small_outgoing_ratio,0.015502771957332177
in_degree,0.015320474815227244
balance_std_dev,0.014423161761581073
max_balance,0.014313562711776119
total_internal_transactions,0.013910419381625651
zero_outgoing_ratio,0.013881885611946311
zero_outgoing_count,0.013747055794166888
unknown_incoming_total_transactions,0.013620586749379196
zero_incoming_count,0.013323262208631158
balance_fluctuation,0.012694639287803703
avg_large_amount,0.012579594678127108
max_large_amount,0.011242830714368246
balance_drops,0.011161431986309934
min_balance,0.01114922767276539
inflow_outflow_ratio,0.010949271106111352
small_incoming_ratio,0.010749395961509225
avg_external_outgoing_amount,0.010605811152342565
avg_large_transactions_per_day,0.009876007175977511
zero_incoming_ratio,0.00945930274867899
avg_external_incoming_amount,0.009411093382007013
phishing_incoming_total_transactions,0.008645960349520965
avg_internal_amount,0.00852577680650174
avg_transactions_per_day_after_large_txn_value,0.008391183521394008
min_large_amount,0.005571083140484967
phishing_incoming_count,0.005069219662803807
