Feature,Importance
phishing_outgoing_count,22.703886032104492
non_phishing_outgoing_count,12.677645683288574
phishing_outgoing_total_transactions,11.493402481079102
centrality,4.664738178253174
total_large_transactions,4.183172225952148
small_incoming_count,3.3338160514831543
avg_external_incoming_amount,2.242924213409424
unknown_incoming_count,2.061445713043213
avg_internal_amount,2.0445902347564697
avg_transactions_per_day_after_large_txn_value,1.9728858470916748
unknown_outgoing_count,1.9124889373779297
small_outgoing_count,1.736255407333374
zero_incoming_count,1.721294641494751
total_internal_transactions,1.6958987712860107
max_large_amount,1.6549549102783203
unknown_incoming_total_transactions,1.6174713373184204
balance_fluctuation,1.6042526960372925
small_outgoing_ratio,1.6009761095046997
unknown_outgoing_total_transactions,1.5835264921188354
total_external_transactions,1.5731265544891357
non_phishing_incoming_total_transactions,1.5505907535552979
min_large_amount,1.5307590961456299
non_phishing_incoming_count,1.4650074243545532
zero_incoming_ratio,1.4431824684143066
max_balance,1.4273072481155396
phishing_incoming_count,1.3849549293518066
balance_std_dev,1.3824951648712158
small_incoming_ratio,1.3807264566421509
avg_external_outgoing_amount,1.3767305612564087
avg_transaction_frequency,1.3577474355697632
avg_large_transactions_per_day,1.3576560020446777
min_balance,1.2741243839263916
inflow_outflow_ratio,1.2551082372665405
out_degree,1.2376402616500854
zero_outgoing_ratio,1.2283449172973633
balance_drops,1.2081066370010376
zero_outgoing_count,1.2046788930892944
in_degree,1.2044248580932617
avg_large_amount,1.124785304069519
phishing_incoming_total_transactions,1.0416978597640991
non_phishing_outgoing_total_transactions,0.9011817574501038
